AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.200_M0.00_N9.0 360 M" on Foil "T1_Re0.200_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.57          Angle of attack for zero Cn for linear Cn curve (deg)
3.15588        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3997        Cn at stall value for positive angle of attack for linear Cn curve
-0.5737        Cn at stall value for negative angle of attack for linear Cn curve
3.00           Angle of attack for minimum CD (deg)
0.0177         Minimum CD value
     87.00    0.3448    1.8414
     88.00    0.3044    1.8445
     89.00    0.2636    1.8466
     90.00    0.2225    1.8474
     91.00    0.1811    1.8471
     92.00    0.1394    1.8456
     93.00    0.0976    1.8429
     94.00    0.0557    1.8391
     95.00    0.0137    1.8342
     96.00   -0.0283    1.8281
     97.00   -0.0702    1.8209
     98.00   -0.1120    1.8125
     99.00   -0.1536    1.8030
    100.00   -0.1950    1.7924
    101.00   -0.2362    1.7808
    102.00   -0.2769    1.7680
    103.00   -0.3173    1.7542
    104.00   -0.3572    1.7394
    105.00   -0.3966    1.7235
    106.00   -0.4354    1.7067
    107.00   -0.4736    1.6888
    108.00   -0.5111    1.6700
    109.00   -0.5478    1.6503
    110.00   -0.5997    1.6297
    111.00   -0.6345    1.6082
    112.00   -0.6684    1.5859
    113.00   -0.7014    1.5627
    114.00   -0.7335    1.5388
    115.00   -0.7644    1.5141
    116.00   -0.7943    1.4886
    117.00   -0.8231    1.4625
    118.00   -0.8508    1.4357
    119.00   -0.8772    1.4083
    120.00   -0.9024    1.3803
    121.00   -0.9263    1.3517
    122.00   -0.9489    1.3227
    123.00   -0.9702    1.2931
    124.00   -0.9901    1.2631
    125.00   -1.0086    1.2327
    126.00   -1.0257    1.2019
    127.00   -1.0413    1.1708
    128.00   -1.0555    1.1394
    129.00   -1.0682    1.1077
    130.00   -1.0794    1.0758
    131.00   -1.0891    1.0438
    132.00   -1.0973    1.0116
    133.00   -1.1040    0.9794
    134.00   -1.1091    0.9471
    135.00   -1.1127    0.9148
    136.00   -1.1147    0.8825
    137.00   -1.1153    0.8503
    138.00   -1.1143    0.8181
    139.00   -1.1118    0.7862
    140.00   -1.1079    0.7544
    141.00   -1.1024    0.7229
    142.00   -1.0955    0.6916
    143.00   -1.0872    0.6606
    144.00   -1.0774    0.6300
    145.00   -1.0662    0.5997
    146.00   -1.0537    0.5699
    147.00   -1.0399    0.5405
    148.00   -1.0248    0.5116
    149.00   -1.0084    0.4832
    150.00   -0.9909    0.4554
    151.00   -0.9722    0.4282
    152.00   -0.9524    0.4015
    153.00   -0.9315    0.3756
    154.00   -0.9097    0.3503
    155.00   -0.8871    0.3257
    156.00   -0.8636    0.3019
    157.00   -0.8393    0.2788
    158.00   -0.8145    0.2565
    159.00   -0.7892    0.2351
    160.00   -0.7636    0.2145
    161.00   -0.7378    0.1947
    162.00   -0.7121    0.1759
    163.00   -0.6867    0.1579
    164.00   -0.6620    0.1409
    165.00   -0.6383    0.1248
    166.00   -0.6160    0.1097
    167.00   -0.5955    0.0956
    168.00   -0.5772    0.0825
    169.00   -0.5608    0.0704
    170.00   -0.5453    0.0592
    171.00   -0.5287    0.0492
    172.00   -0.5073    0.0401
    173.00   -0.4773    0.0322
    174.00   -0.4368    0.0252
    175.00   -0.3864    0.0194
    176.00   -0.3291    0.0145
    177.00   -0.2683    0.0108
    178.00   -0.2061    0.0081
    179.00   -0.1438    0.0065
    180.00   -0.0814    0.0060
    180.00   -0.0814    0.0060
