AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.43           Angle of attack for zero Cn for linear Cn curve (deg)
7.80220        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4946        Cn at stall value for positive angle of attack for linear Cn curve
-0.6636        Cn at stall value for negative angle of attack for linear Cn curve
6.00           Angle of attack for minimum CD (deg)
0.0329         Minimum CD value
    115.00   -0.5087    1.5157
    116.00   -0.5294    1.4902
    117.00   -0.5495    1.4640
    118.00   -0.5690    1.4371
    119.00   -0.5878    1.4096
    120.00   -0.6059    1.3815
    121.00   -0.6233    1.3529
    122.00   -0.6399    1.3238
    123.00   -0.6557    1.2941
    124.00   -0.6708    1.2641
    125.00   -0.6850    1.2336
    126.00   -0.6984    1.2028
    127.00   -0.7109    1.1716
    128.00   -0.7224    1.1402
    129.00   -0.7331    1.1085
    130.00   -0.7429    1.0766
    131.00   -0.7516    1.0445
    132.00   -0.7594    1.0123
    133.00   -0.7662    0.9800
    134.00   -0.7720    0.9476
    135.00   -0.7768    0.9153
    136.00   -0.7805    0.8830
    137.00   -0.7832    0.8507
    138.00   -0.7848    0.8186
    139.00   -0.7854    0.7866
    140.00   -0.7849    0.7548
    141.00   -0.7833    0.7232
    142.00   -0.7806    0.6919
    143.00   -0.7768    0.6609
    144.00   -0.7720    0.6303
    145.00   -0.7661    0.6000
    146.00   -0.7590    0.5701
    147.00   -0.7510    0.5407
    148.00   -0.7418    0.5118
    149.00   -0.7317    0.4834
    150.00   -0.7204    0.4556
    151.00   -0.7082    0.4283
    152.00   -0.6950    0.4017
    153.00   -0.6808    0.3757
    154.00   -0.6657    0.3504
    155.00   -0.6498    0.3258
    156.00   -0.6329    0.3020
    157.00   -0.6154    0.2789
    158.00   -0.5971    0.2566
    159.00   -0.5781    0.2352
    160.00   -0.5587    0.2145
    161.00   -0.5389    0.1948
    162.00   -0.5190    0.1759
    163.00   -0.4990    0.1580
    164.00   -0.4794    0.1409
    165.00   -0.4605    0.1249
    166.00   -0.4429    0.1098
    167.00   -0.4272    0.0956
    168.00   -0.4146    0.0825
    169.00   -0.4060    0.0704
    170.00   -0.4029    0.0593
    171.00   -0.4063    0.0492
    172.00   -0.4155    0.0401
    173.00   -0.4260    0.0322
    174.00   -0.4269    0.0252
    175.00   -0.4035    0.0194
    176.00   -0.3474    0.0145
    177.00   -0.2638    0.0108
    178.00   -0.1658    0.0081
    179.00   -0.0632    0.0065
    180.00    0.0400    0.0060
    180.00    0.0400    0.0060
